Sample	Diet	Day
R16	Chow	7
R17	Chow	7
R18	Chow	7
R19	Chow	7
R20	Chow	7
R21	Starch	7
R22	Starch	7
R23	Starch	7
R24	Starch	7
R25	Starch	7
R26	Fat	7
R27	Fat	7
R28	Fat	7
R29	Fat	7
R30	Fat	7
R31	Chow	9
R32	Chow	9
R33	Chow	9
R34	Chow	9
R35	Chow	9
R36	Starch	9
R37	Starch	9
R38	Starch	9
R39	Starch	9
R40	Starch	9
R41	Fat	9
R42	Fat	9
R43	Fat	9
R44	Fat	9
R45	Fat	9
R46	Chow	12
R47	Chow	12
R48	Chow	12
R49	Chow	12
R50	Chow	12
R51	Starch	12
R52	Starch	12
R53	Starch	12
R54	Starch	12
R55	Starch	12
R56	Fat	12
R57	Fat	12
R58	Fat	12
R59	Fat	12
R60	Fat	12
R61	Chow	14
R62	Chow	14
R63	Chow	14
R64	Chow	14
R65	Chow	14
R66	Starch	14
R67	Starch	14
R68	Starch	14
R69	Starch	14
R70	Starch	14
R71	Fat	14
R72	Fat	14
R73	Fat	14
R74	Fat	14
R75	Fat	14
R91	Chow	20
R92	Chow	20
R93	Chow	20
R94	Chow	20
R95	Chow	20
R96	Starch	20
R97	Starch	20
R98	Starch	20
R99	Starch	20
R100	Starch	20
R101	Fat	20
R102	Fat	20
R103	Fat	20
R104	Fat	20
R105	Fat	20
