sample	Diet	Day	
S001	Chow	1	
S002	Chow	1	
S003	Chow	1	
S004	Chow	1	
S005	Chow	1	
S006	Starch	1	
S007	Starch	1	
S008	Starch	1	
S009	Starch	1	
S010	Starch	1	
S011	Fat	1	
S012	Fat	1	
S013	Fat	1	
S014	Fat	1	
S015	Fat	1	
S016	Chow	2	
S017	Chow	2	
S018	Chow	2	
S019	Chow	2	
S020	Chow	2	
S021	Starch	2	
S022	Starch	2	
S023	Starch	2	
S024	Starch	2	
S025	Starch	2	
S026	Fat	2	
S027	Fat	2	
S028	Fat	2	
S029	Fat	2	
S030	Fat	2	
S031	Chow	3	
S032	Chow	3	
S033	Chow	3	
S034	Chow	3	
S035	Chow	3	
S036	Starch	3	
S037	Starch	3	
S038	Starch	3	
S039	Starch	3	
S040	Starch	3	
S041	Fat	3	
S042	Fat	3	
S043	Fat	3	
S044	Fat	3	
S045	Fat	3	
S046	Chow	4	
S047	Chow	4	
S048	Chow	4	
S049	Chow	4	
S050	Chow	4	
S051	Starch	4	
S052	Starch	4	
S053	Starch	4	
S054	Starch	4	
S055	Starch	4	
S056	Fat	4	
S057	Fat	4	
S058	Fat	4	
S059	Fat	4	
S060	Fat	4	
S061	Chow	5	
S062	Chow	5	
S063	Chow	5	
S064	Chow	5	
S065	Chow	5	
S066	Starch	5	
S067	Starch	5	
S068	Starch	5	
S069	Starch	5	
S070	Starch	5	
S071	Fat	5	
S072	Fat	5	
S073	Fat	5	
S074	Fat	5	
S075	Fat	5	
S076	Chow	6	
S077	Chow	6	
S078	Chow	6	
S079	Chow	6	
S080	Chow	6	
S081	Starch	6	
S082	Starch	6	
S083	Starch	6	
S084	Starch	6	
S085	Starch	6	
S086	Fat	6	
S087	Fat	6	
S088	Fat	6	
S089	Fat	6	
S090	Fat	6	
S091	Chow	7	
S092	Chow	7	
S093	Chow	7	
S094	Chow	7	
S095	Chow	7	
S096	Starch	7	
S097	Starch	7	
S098	Starch	7	
S099	Starch	7	
S100	Starch	7	
S101	Fat	7	
S102	Fat	7	
S103	Fat	7	
S104	Fat	7	
S105	Fat	7	
S106	Chow	8	
S107	Chow	8	
S108	Chow	8	
S109	Chow	8	
S110	Chow	8	
S111	Starch	8	
S112	Starch	8	
S113	Starch	8	
S114	Starch	8	
S115	Starch	8	
S116	Fat	8	
S117	Fat	8	
S118	Fat	8	
S119	Fat	8	
S120	Fat	8	
S121	Chow	9	
S122	Chow	9	
S123	Chow	9	
S124	Chow	9	
S125	Chow	9	
S126	Starch	9	
S127	Starch	9	
S128	Starch	9	
S129	Starch	9	
S130	Starch	9	
S131	Fat	9	
S132	Fat	9	
S133	Fat	9	
S134	Fat	9	
S135	Fat	9	
S136	Chow	10	
S137	Chow	10	
S138	Chow	10	
S139	Chow	10	
S140	Chow	10	
S141	Starch	10	
S142	Starch	10	
S143	Starch	10	
S144	Starch	10	
S145	Starch	10	
S146	Fat	10	
S147	Fat	10	
S148	Fat	10	
S149	Fat	10	
S150	Fat	10	
S151	Chow	11	
S152	Chow	11	
S153	Chow	11	
S154	Chow	11	
S155	Chow	11	
S156	Starch	11	
S157	Starch	11	
S158	Starch	11	
S159	Starch	11	
S160	Starch	11	
S161	Fat	11	
S162	Fat	11	
S163	Fat	11	
S164	Fat	11	
S165	Fat	11	
S166	Chow	12	
S167	Chow	12	
S168	Chow	12	
S169	Chow	12	
S170	Chow	12	
S171	Starch	12	
S172	Starch	12	
S173	Starch	12	
S174	Starch	12	
S175	Starch	12	
S176	Fat	12	
S177	Fat	12	
S178	Fat	12	
S179	Fat	12	
S180	Fat	12	
S181	Chow	13	
S182	Chow	13	
S183	Chow	13	
S184	Chow	13	
S185	Chow	13	
S186	Starch	13	
S187	Starch	13	
S188	Starch	13	
S189	Starch	13	
S190	Starch	13	
S191	Fat	13	
S192	Fat	13	
S193	Fat	13	
S194	Fat	13	
S195	Fat	13	
S211	Chow	14	
S212	Chow	14	
S213	Chow	14	
S214	Chow	14	
S215	Chow	14	
S216	Starch	14	
S217	Starch	14	
S218	Starch	14	
S219	Starch	14	
S220	Starch	14	
S221	Fat	14	
S222	Fat	14	
S223	Fat	14	
S224	Fat	14	
S225	Fat	14	
