Sample	Diet	Day
S1	Chow	1
S2	Chow	1
S3	Chow	1
S4	Chow	1
S5	Chow	1
S11	Fat	1
S12	Fat	1
S13	Fat	1
S14	Fat	1
S15	Fat	1
S10	Starch	1
S6	Starch	1
S7	Starch	1
S8	Starch	1
S9	Starch	1
S16	Chow	2
S17	Chow	2
S18	Chow	2
S19	Chow	2
S20	Chow	2
S26	Fat	2
S27	Fat	2
S28	Fat	2
S29	Fat	2
S30	Fat	2
S21	Starch	2
S22	Starch	2
S23	Starch	2
S24	Starch	2
S31	Chow	3
S32	Chow	3
S33	Chow	3
S34	Chow	3
S35	Chow	3
S41	Fat	3
S42	Fat	3
S43	Fat	3
S44	Fat	3
S45	Fat	3
S36	Starch	3
S37	Starch	3
S38	Starch	3
S39	Starch	3
S40	Starch	3
S46	Chow	4
S47	Chow	4
S48	Chow	4
S49	Chow	4
S50	Chow	4
S56	Fat	4
S57	Fat	4
S58	Fat	4
S59	Fat	4
S60	Fat	4
S51	Starch	4
S52	Starch	4
S53	Starch	4
S54	Starch	4
S55	Starch	4
S61	Chow	5
S62	Chow	5
S63	Chow	5
S64	Chow	5
S65	Chow	5
S71	Fat	5
S72	Fat	5
S73	Fat	5
S74	Fat	5
S75	Fat	5
S66	Starch	5
S67	Starch	5
S68	Starch	5
S69	Starch	5
S70	Starch	5
S76	Chow	6
S77	Chow	6
S78	Chow	6
S79	Chow	6
S80	Chow	6
S86	Fat	6
S87	Fat	6
S88	Fat	6
S89	Fat	6
S90	Fat	6
S81	Starch	6
S82	Starch	6
S83	Starch	6
S84	Starch	6
S85	Starch	6
S91	Chow	7
S92	Chow	7
S93	Chow	7
S94	Chow	7
S95	Chow	7
S101	Fat	7
S102	Fat	7
S103	Fat	7
S104	Fat	7
S105	Fat	7
S100	Starch	7
S96	Starch	7
S97	Starch	7
S98	Starch	7
S99	Starch	7
S106	Chow	8
S107	Chow	8
S108	Chow	8
S109	Chow	8
S110	Chow	8
S116	Fat	8
S117	Fat	8
S118	Fat	8
S119	Fat	8
S120	Fat	8
S111	Starch	8
S112	Starch	8
S113	Starch	8
S114	Starch	8
S115	Starch	8
S121	Chow	9
S122	Chow	9
S123	Chow	9
S124	Chow	9
S125	Chow	9
S131	Fat	9
S132	Fat	9
S133	Fat	9
S134	Fat	9
S135	Fat	9
S126	Starch	9
S127	Starch	9
S128	Starch	9
S129	Starch	9
S130	Starch	9
S136	Chow	10
S137	Chow	10
S138	Chow	10
S139	Chow	10
S140	Chow	10
S146	Fat	10
S147	Fat	10
S148	Fat	10
S149	Fat	10
S150	Fat	10
S141	Starch	10
S142	Starch	10
S143	Starch	10
S144	Starch	10
S145	Starch	10
S151	Chow	11
S152	Chow	11
S153	Chow	11
S154	Chow	11
S155	Chow	11
S161	Fat	11
S162	Fat	11
S163	Fat	11
S164	Fat	11
S165	Fat	11
S156	Starch	11
S157	Starch	11
S158	Starch	11
S159	Starch	11
S160	Starch	11
S166	Chow	12
S167	Chow	12
S168	Chow	12
S169	Chow	12
S170	Chow	12
S176	Fat	12
S177	Fat	12
S178	Fat	12
S179	Fat	12
S180	Fat	12
S171	Starch	12
S172	Starch	12
S173	Starch	12
S174	Starch	12
S175	Starch	12
S181	Chow	13
S182	Chow	13
S183	Chow	13
S184	Chow	13
S185	Chow	13
S191	Fat	13
S192	Fat	13
S193	Fat	13
S194	Fat	13
S195	Fat	13
S186	Starch	13
S187	Starch	13
S188	Starch	13
S189	Starch	13
S190	Starch	13
S196	Chow	14
S197	Chow	14
S198	Chow	14
S199	Chow	14
S200	Chow	14
S206	Fat	14
S207	Fat	14
S208	Fat	14
S209	Fat	14
S210	Fat	14
S201	Starch	14
S202	Starch	14
S203	Starch	14
S204	Starch	14
S205	Starch	14
S211	Chow	16
S212	Chow	16
S213	Chow	16
S214	Chow	16
S215	Chow	16
S221	Fat	16
S222	Fat	16
S223	Fat	16
S224	Fat	16
S225	Fat	16
S216	Starch	16
S217	Starch	16
S218	Starch	16
S219	Starch	16
S220	Starch	16
S226	Chow	20
S227	Chow	20
S228	Chow	20
S229	Chow	20
S230	Chow	20
S236	Fat	20
S237	Fat	20
S238	Fat	20
S239	Fat	20
S240	Fat	20
S231	Starch	20
S232	Starch	20
S233	Starch	20
S234	Starch	20
S235	Starch	20
