Geneid	Chr	Start	End	Strand	Length	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R30
thrL	U00096.3	190	255	+	66	60	141	80	182	84	145	89	190	143	394	127	72	68	56	78
thrA	U00096.3	337	2799	+	2463	647	1561	677	1068	570	821	362	807	728	1588	402	258	440	307	337
thrB	U00096.3	2801	3733	+	933	349	890	399	580	388	587	303	493	460	691	209	159	205	187	232
thrC	U00096.3	3734	5020	+	1287	504	1207	569	747	518	657	381	666	581	960	197	177	254	219	261
yaaX	U00096.3	5234	5530	+	297	116	171	127	102	74	59	43	44	37	43	21	32	57	21	30
yaaA	U00096.3	5683	6459	-	777	221	241	233	132	142	136	91	118	104	151	56	65	82	107	62
yaaJ	U00096.3	6529	7959	-	1431	103	74	70	70	51	72	57	71	69	71	25	37	38	38	34
talB	U00096.3	8238	9191	+	954	565	1074	743	898	492	1964	1294	1859	1842	2449	731	676	901	522	636
mog	U00096.3	9306	9893	+	588	70	97	95	92	67	163	116	136	142	195	82	59	67	53	43
satP	U00096.3	9928	10494	-	567	47	64	55	56	30	96	73	74	77	101	29	24	31	15	26
yaaW	U00096.3	10643	11356	-	714	44	32	16	22	17	29	38	22	16	18	4	9	15	4	8
mbiA	U00096.3	10830	11315	+	486	27	26	11	20	11	23	26	19	12	14	1	8	13	4	7
yaaI	U00096.3	11382	11786	-	405	35	20	15	23	11	12	7	7	6	8	2	4	4	3	3
dnaK	U00096.3	12163	14079	+	1917	4783	7054	6582	3951	2648	4631	4091	4002	4649	5550	877	793	750	900	1818
dnaJ	U00096.3	14168	15298	+	1131	300	451	388	314	213	456	322	348	465	406	132	110	132	102	140
insL-1	U00096.3	15445	16557	+	1113	260	302	205	184	151	239	184	220	227	278	57	71	58	60	60
mokC	U00096.3	16751	16960	-	210	91	104	80	107	76	113	94	112	87	126	70	58	62	67	69
hokC	U00096.3	16751	16903	-	153	50	61	51	59	50	83	53	73	52	101	42	22	34	32	43
sokC	U00096.3	16952	17006	+	55	47	55	40	53	35	44	48	61	47	53	42	42	39	44	40
nhaA	U00096.3	17489	18655	+	1167	211	267	188	218	126	452	243	284	320	470	187	155	195	176	192
nhaR	U00096.3	18715	19620	+	906	146	143	102	114	82	186	123	138	124	144	60	85	83	58	62
insB-1	U00096.3	19811	20314	-	504	140	198	142	174	116	57	53	58	55	68	114	122	125	151	89
insA-1	U00096.3	20233	20508	-	276	145	228	167	163	109	42	45	30	38	48	135	123	154	155	101
rpsT	U00096.3	20815	21078	-	264	732	1228	975	1034	545	2325	1539	1432	1463	1994	889	744	1010	538	620
yaaY	U00096.3	21181	21399	+	219	156	339	269	369	123	562	425	369	335	202	165	278	193	163	183
ribF	U00096.3	21407	22348	+	942	913	1500	1122	1279	842	1196	728	1035	898	781	297	381	406	275	348
ileS	U00096.3	22391	25207	+	2817	1307	2595	1668	2114	1416	3921	2111	3096	2946	2989	1006	843	1164	696	917
lspA	U00096.3	25207	25701	+	495	152	253	177	232	153	354	164	272	268	389	101	79	132	73	103
fkpB	U00096.3	25826	26275	+	450	135	253	135	232	111	565	238	421	487	445	82	59	115	50	93
