Geneid	Chr	Start	End	Strand	Length	R76	R77	R78	R79	R80	R81	R82	R83	R84	R85	R86	R87	R88	R89	R90
thrL	U00096.3	190	255	+	66	39	33	15	32	38	21	24	49	29	50	46	18	28	74	13
thrA	U00096.3	337	2799	+	2463	262	189	103	196	319	225	355	393	284	445	724	219	305	563	192
thrB	U00096.3	2801	3733	+	933	123	114	60	80	157	96	181	190	136	255	348	111	179	288	83
thrC	U00096.3	3734	5020	+	1287	181	147	82	131	210	135	226	248	177	271	437	177	208	350	152
yaaX	U00096.3	5234	5530	+	297	25	8	7	17	14	20	24	13	42	23	14	19	23	22	10
yaaA	U00096.3	5683	6459	-	777	22	17	15	29	20	24	18	37	26	30	27	16	42	35	35
yaaJ	U00096.3	6529	7959	-	1431	13	8	8	25	9	11	16	15	16	12	15	16	6	29	16
talB	U00096.3	8238	9191	+	954	155	238	157	152	191	165	284	282	286	389	364	187	313	480	155
mog	U00096.3	9306	9893	+	588	10	17	10	24	12	17	27	24	15	32	37	13	25	49	16
satP	U00096.3	9928	10494	-	567	7	7	4	7	11	6	8	8	15	14	13	9	15	20	12
yaaW	U00096.3	10643	11356	-	714	3	3	0	11	6	4	7	3	14	2	5	2	4	6	6
mbiA	U00096.3	10830	11315	+	486	3	3	0	10	5	2	4	3	14	2	4	2	3	5	4
yaaI	U00096.3	11382	11786	-	405	4	1	3	6	3	3	4	5	2	1	3	10	0	4	5
dnaK	U00096.3	12163	14079	+	1917	876	566	337	503	683	1473	1502	1452	1858	1228	2677	844	1783	1195	942
dnaJ	U00096.3	14168	15298	+	1131	52	44	31	36	53	70	75	92	93	105	164	59	117	144	70
insL-1	U00096.3	15445	16557	+	1113	32	21	16	26	57	44	54	45	52	50	84	50	75	70	62
mokC	U00096.3	16751	16960	-	210	19	18	7	19	23	8	19	26	29	26	32	15	44	39	14
hokC	U00096.3	16751	16903	-	153	9	8	3	8	7	6	7	12	12	13	10	7	17	15	6
sokC	U00096.3	16952	17006	+	55	12	11	6	14	18	3	13	17	20	19	25	9	32	28	9
nhaA	U00096.3	17489	18655	+	1167	50	40	26	53	36	66	53	73	63	83	160	48	83	107	55
nhaR	U00096.3	18715	19620	+	906	19	21	8	25	17	16	34	23	31	26	38	22	31	32	23
insB-1	U00096.3	19811	20314	-	504	14	10	1	25	36	17	11	9	18	35	67	21	50	53	22
insA-1	U00096.3	20233	20508	-	276	25	14	5	20	32	6	11	10	17	36	76	25	27	75	25
rpsT	U00096.3	20815	21078	-	264	178	212	146	125	150	128	117	159	164	265	139	98	234	394	116
yaaY	U00096.3	21181	21399	+	219	81	101	46	34	62	64	55	75	63	119	50	30	87	132	42
ribF	U00096.3	21407	22348	+	942	213	259	175	164	260	204	323	237	269	336	429	210	344	508	294
ileS	U00096.3	22391	25207	+	2817	464	460	300	236	464	357	584	490	548	818	1096	409	875	1275	555
lspA	U00096.3	25207	25701	+	495	27	30	36	38	54	50	75	52	64	92	97	50	99	109	39
fkpB	U00096.3	25826	26275	+	450	41	46	31	19	38	30	52	54	33	76	75	33	71	100	41
ispH	U00096.3	26277	27227	+	951	95	98	57	60	89	86	138	123	187	192	207	117	155	238	103
rihC	U00096.3	27293	28207	+	915	17	15	13	26	26	8	11	16	22	21	26	17	11	48	15
dapB	U00096.3	28374	29195	+	822	25	29	21	24	26	23	48	41	48	75	64	32	51	85	27
carA	U00096.3	29651	30799	+	1149	570	523	323	335	429	357	729	486	646	148	429	544	98	251	114
carB	U00096.3	30817	34038	+	3222	745	727	388	374	572	434	1048	786	941	379	789	741	160	399	151
caiF	U00096.3	34300	34695	+	396	28	27	20	34	31	34	79	28	59	15	47	40	33	36	27
caiE	U00096.3	34781	35371	-	591	6	12	7	24	12	12	45	26	33	36	65	15	12	29	9
caiD	U00096.3	35377	36162	-	786	4	3	1	13	7	4	17	7	16	16	33	12	7	13	5
caiC	U00096.3	36271	37824	-	1554	39	20	19	45	25	71	161	84	169	106	202	51	56	76	44
caiB	U00096.3	37898	39115	-	1218	49	36	46	43	44	153	234	147	176	151	324	86	86	130	59
caiA	U00096.3	39244	40386	-	1143	25	19	20	22	17	51	91	75	93	100	179	36	78	84	27
caiT	U00096.3	40417	41931	-	1515	7	9	14	24	8	54	105	56	94	74	120	43	96	62	45
fixA	U00096.3	42403	43173	+	771	29	38	36	54	28	255	437	288	305	448	638	130	238	356	127
fixB	U00096.3	43188	44129	+	942	21	36	27	26	18	150	245	172	176	329	439	93	148	231	57
fixC	U00096.3	44180	45466	+	1287	33	30	29	23	38	166	323	244	266	353	626	87	133	290	59
fixX	U00096.3	45463	45750	+	288	7	6	9	6	3	40	62	53	71	83	144	13	22	61	11
yaaU	U00096.3	45807	47138	+	1332	16	15	15	18	11	68	160	96	96	132	224	45	49	124	25
kefF	U00096.3	47246	47776	+	531	1	1	2	6	5	5	10	3	11	4	14	8	5	8	5
kefC	U00096.3	47769	49631	+	1863	12	12	8	27	15	10	19	21	21	19	19	24	13	28	15
folA	U00096.3	49823	50302	+	480	17	16	13	16	23	12	18	16	19	38	14	16	30	34	9
apaH	U00096.3	50380	51222	-	843	51	37	33	36	54	34	66	48	64	56	96	57	79	94	55
apaG	U00096.3	51229	51606	-	378	80	65	35	42	86	63	92	85	121	69	135	68	136	156	89
rsmA	U00096.3	51609	52430	-	822	77	82	39	52	108	67	121	106	138	126	153	99	183	188	100
pdxA	U00096.3	52427	53416	-	990	61	57	39	49	75	64	92	69	96	111	116	71	137	178	94
surA	U00096.3	53416	54702	-	1287	138	131	76	110	156	124	171	176	179	202	240	161	281	338	141
